Date,Name / Description,Expense/Income,Amount (EUR)
26-09-2023,Beta Boulders Ams Amsterdam,Expense,16.5
25-09-2023,Apple Services,Expense,39.99
24-09-2023,Blogging,Income,4567.89
23-09-2023,Jumbo Supermarkt,Expense,33.45
22-09-2023,Paradiso Amsterdam,Expense,37.5
21-09-2023,Water Company PWN,Expense,36.78
20-09-2023,Translation Services,Income,890
19-09-2023,IKEA Amsterdam,Expense,145.67
18-09-2023,Tls Bv Inz Ov-Chipkaart,Expense,18.9
17-09-2023,Selling Paintings,Income,35
16-09-2023,Melkweg Amsterdam,Expense,35
15-09-2023,Albert Heijn Amsterdam,Expense,42.1
14-09-2023,Airbnb Hosting,Income,678.9
13-09-2023,Vishandel Sier Amsterdam,Expense,14.25
12-09-2023,Tk Maxx Amsterdam Da,Expense,28.99
11-09-2023,Web Development,Income,2123.45
10-09-2023,Starbucks Amsterdam,Expense,7.5
09-09-2023,Netflix NL,Expense,11.99
08-09-2023,Shell Station,Expense,65.78
07-09-2023,Content Writing,Income,678.9
06-09-2023,Lidl Amsterdam,Expense,27.65
05-09-2023,Spotify Ab By Adyen,Expense,12.19
04-09-2023,Consulting,Income,2345.67
03-09-2023,Deliveroo,Expense,29.9
02-09-2023,KPN Mobile,Expense,29.99
01-09-2023,Albert Heijn Amsterdam,Expense,39.45
